model_s,model_l,speedup,b,c,accept_rate,dsp_thr,base_thr,slm_thr,gamma,rtt_ms,bw_Mbps,prompt_len,t_ar_slm,t_ar_llm
opt-125m,opt-6.7b,1.58,0.2,0.1,0.395,12.8,8.09,116.42,4,20.0,100.0,128,1.11,15.94  (H800 VS H800)
opt-125m,opt-6.7b,1.76,0.1,0.1,0.392,14.21,8.07,117.6,6,20.0,100.0,128,1.1,15.99 (H800 VS H800)
opt-125m,opt-6.7b,1.53,0.2,0.1,0.395,12.23,8.01,118.64,4,20.0,100.0,128,1.09,16.11 (A6000 VS H800)
opt-125m,opt-6.7b,1.75,0.1,0.1,0.392,14.06,8.04,117.84,6,20.0,100.0,128,1.09,16.05 (A6000 VS H800)


opt-125m,opt-6.7b,0.73,0.0,0.6,0.427,5.82,7.96,13.01,4,20.0,100.0,128,9.92,16.21 (CPU VS H800)
opt-125m,opt-6.7b,0.62,0.0,0.6,0.392,4.96,7.98,12.47,6,20.0,100.0,128,10.34,16.17 (CPU VS H800)
opt-125m,opt-6.7b,0.68,0.0,0.7,0.427,5.88,8.69,13.08,4,20.0,100.0,128,9.86,14.84 (CPU VS A6000)
opt-125m,opt-6.7b,0.59,0.0,0.6,0.392,5.06,8.63,13.51,6,20.0,100.0,128,9.55,14.94 (CPU VS A6000)
