model_s,model_l,speedup,b,c,accept_rate,dsp_thr,base_thr,gamma,rtt_ms,bw_Mbps,prompt_len

(Homogenuesou exp)
,opt-6.7b,2.28,0.0,0.0,0.288,7.32,3.2,81.28,8,0.0,100.0,128,1.59,40.26
,opt-6.7b,2.31,0.3,0.0,0.288,7.35,3.19,105.53,8,20.0,100.0,128,1.22,40.48
,opt-6.7b,2.19,0.6,0.0,0.288,7.0,3.19,79.88,8,50.0,10.0,128,1.61,40.44

,opt-6.7b,2.22,0.3,0.0,0.288,7.06,3.18,84.7,8,20.0,50.0,128,1.52,40.57
,opt-6.7b,1.97,0.4,0.1,0.288,6.3,3.19,56.66,8,50.0,50.0,128,2.28,40.38
,opt-6.7b,1.57,0.7,0.1,0.392,11.93,7.59,85.25,6,50.0,10.0,128,1.51,17.0

# 13B
,opt-13b,1.88,0.0,0.0,0.215,8.01,4.27,109.04,8,0.0,100.0,128,1.18,30.24
,opt-13b,1.81,0.3,0.0,0.215,7.69,4.24,85.46,8,20.0,100.0,128,1.51,30.44
,opt-13b,1.73,0.9,0.0,0.215,7.39,4.27,102.35,8,50.0,10.0,128,1.26,30.2

,opt-13b,1.81,0.3,0.0,0.215,7.7,4.25,85.0,8,20.0,50.0,128,1.52,30.36
,opt-13b,1.74,1.0,0.0,0.215,7.42,4.27,106.77,8,50.0,50.0,128,1.21,30.19
,opt-13b,1.91,0.7,0.1,0.349,8.11,4.25,82.08,6,50.0,10.0,128,1.57,30.39

(H800 VS H800)
opt-125m,opt-6.7b,2.03,0.083,2.012,0.335,14.11,6.96,8,20.0,100.0,100
opt-125m,opt-6.7b,1.96,0.0,1.856,0.335,15.0,7.67,8,0.0,50.0,100
opt-125m,opt-6.7b,1.95,0.0,1.842,0.335,14.99,7.67,8,0.0,100.0,100
opt-125m,opt-6.7b,1.81,0.083,1.97,0.335,13.84,7.67,8,20.0,10.0,100
opt-125m,opt-6.7b,2.03,0.083,2.012,0.335,14.11,6.96,8,20.0,100.0,100
opt-125m,opt-6.7b,1.84,0.231,2.045,0.335,14.08,7.65,8,50.0,10.0,100
opt-125m,opt-6.7b,1.77,0.221,2.047,0.335,13.6,7.66,8,50.0,50.0,100
opt-125m,opt-6.7b,1.78,0.23,1.994,0.335,13.67,7.67,8,50.0,100.0,100


opt-125m,opt-13b,1.6,0.0,1.225,0.5,7.03,4.39,2,0.0,10.0,100
opt-125m,opt-13b,1.68,0.0,1.188,0.5,7.41,4.4,2,0.0,50.0,100
opt-125m,opt-13b,1.49,0.0,1.221,0.5,7.28,4.89,2,0.0,100.0,100
opt-125m,opt-13b,1.44,0.209,1.256,0.5,6.99,4.87,2,20.0,10.0,100
opt-125m,opt-13b,1.47,0.213,1.253,0.5,7.05,4.81,2,20.0,50.0,100

opt-125m,opt-13b,1.48,0.373,1.398,0.331,7.16,4.83,4,50.0,10.0,100
opt-125m,opt-13b,1.5,0.392,1.385,0.331,7.24,4.82,4,50.0,50.0,100
opt-125m,opt-13b,1.42,0.315,1.448,0.331,6.87,4.82,4,50.0,100.0,100
opt-125m,opt-13b,1.97,0.0,1.383,0.338,9.53,4.83,6,0.0,10.0,100
opt-125m,opt-13b,1.98,0.0,1.393,0.338,9.53,4.82,6,0.0,50.0,100
opt-125m,opt-13b,1.97,0.0,1.405,0.338,9.51,4.82,6,0.0,100.0,100
opt-125m,opt-13b,1.9,0.108,1.455,0.338,9.19,4.83,6,20.0,10.0,100
opt-125m,opt-13b,1.89,0.105,1.466,0.338,9.09,4.81,6,20.0,50.0,100

opt-125m,opt-13b,1.95,0.114,1.437,0.338,9.41,4.82,6,20.0,100.0,100
opt-125m,opt-13b,1.85,0.283,1.502,0.338,8.9,4.81,6,50.0,10.0,100
opt-125m,opt-13b,1.8,0.261,1.534,0.338,8.69,4.82,6,50.0,50.0,100
opt-125m,opt-13b,1.84,0.281,1.505,0.338,8.89,4.82,6,50.0,100.0,100
opt-125m,opt-13b,1.58,0.0,1.459,0.193,7.59,4.82,8,0.0,10.0,100
opt-125m,opt-13b,1.62,0.0,1.465,0.193,7.8,4.82,8,0.0,50.0,100

opt-125m,opt-13b,1.61,0.0,1.427,0.193,7.75,4.82,8,0.0,100.0,100

opt-125m,opt-13b,1.56,0.101,1.474,0.193,7.51,4.83,8,20.0,10.0,100


(A6000 VS H800)
opt-125m,opt-6.7b,0.88,0.0,0.1,0.566,6.39,7.29,65.09,2,0.0,100.0,128,1.98,17.69
opt-125m,opt-6.7b,0.85,0.1,0.1,0.566,6.24,7.37,69.1,2,20.0,10.0,128,1.87,17.5
opt-125m,opt-6.7b,0.87,0.1,0.1,0.566,6.38,7.38,60.1,2,20.0,50.0,128,2.15,17.48
opt-125m,opt-6.7b,0.85,0.1,0.1,0.566,6.24,7.34,68.52,2,20.0,100.0,128,1.88,17.57
opt-125m,opt-6.7b,0.82,0.3,0.1,0.566,5.96,7.3,75.33,2,50.0,10.0,128,1.71,17.68
opt-125m,opt-6.7b,0.82,0.3,0.1,0.566,6.02,7.32,70.71,2,50.0,50.0,128,1.82,17.62
opt-125m,opt-6.7b,0.91,0.4,0.2,0.566,6.66,7.36,48.16,2,50.0,100.0,128,2.68,17.54
opt-125m,opt-6.7b,0.95,0.0,0.1,0.395,6.94,7.32,87.66,4,0.0,10.0,128,1.47,17.62
opt-125m,opt-6.7b,0.98,0.0,0.1,0.395,7.21,7.32,62.0,4,0.0,50.0,128,2.08,17.62
opt-125m,opt-6.7b,0.86,0.0,0.1,0.395,6.27,7.33,83.83,4,0.0,100.0,128,1.54,17.61
opt-125m,opt-6.7b,0.92,0.1,0.1,0.395,6.87,7.46,58.73,4,20.0,10.0,128,2.2,17.29
opt-125m,opt-6.7b,0.98,0.1,0.1,0.395,7.21,7.34,55.6,4,20.0,50.0,128,2.32,17.57
opt-125m,opt-6.7b,0.82,0.1,0.1,0.395,6.18,7.52,69.29,4,20.0,100.0,128,1.86,17.16
opt-125m,opt-6.7b,0.86,0.2,0.1,0.395,6.32,7.39,78.15,4,50.0,10.0,128,1.65,17.47
opt-125m,opt-6.7b,0.82,0.2,0.1,0.395,6.04,7.4,62.57,4,50.0,50.0,128,2.06,17.44
opt-125m,opt-6.7b,0.8,0.2,0.1,0.395,5.86,7.37,60.91,4,50.0,100.0,128,2.12,17.5
opt-125m,opt-6.7b,0.89,0.0,0.1,0.392,6.56,7.4,75.51,6,0.0,10.0,128,1.71,17.43
