model_s,model_l,speedup,b,c,accept_rate,dsp_thr,base_thr,slm_thr,gamma,rtt_ms,bw_Mbps,prompt_len,t_ar_slm,t_ar_llm
opt-1.3b,opt-1.3b,0.37,0.0,1.0,1.0,9.17,24.94,25.39,2,0.0,10.0,128,5.08,5.17
opt-1.3b,opt-1.3b,0.39,0.0,1.0,1.0,10.39,26.62,27.99,2,0.0,50.0,128,4.61,4.85
opt-1.3b,opt-1.3b,0.38,0.0,0.9,1.0,9.43,24.76,28.12,2,0.0,100.0,128,4.59,5.21
opt-1.3b,opt-1.3b,0.38,0.1,0.9,1.0,9.54,25.26,26.95,2,20.0,10.0,128,4.79,5.11
opt-1.3b,opt-1.3b,0.35,0.1,1.1,1.0,9.75,28.04,26.64,2,20.0,50.0,128,4.84,4.6
opt-1.3b,opt-1.3b,0.35,0.1,1.0,1.0,9.12,25.89,26.13,2,20.0,100.0,128,4.94,4.98
opt-1.3b,opt-1.3b,0.31,0.2,1.0,1.0,8.43,27.47,26.69,2,50.0,10.0,128,4.83,4.7
opt-1.3b,opt-1.3b,0.39,0.2,1.0,1.0,9.89,25.62,26.8,2,50.0,50.0,128,4.81,5.03
opt-1.3b,opt-1.3b,0.35,0.2,0.9,1.0,8.86,25.01,29.4,2,50.0,100.0,128,4.39,5.16
opt-1.3b,opt-1.3b,0.44,0.0,0.9,1.0,11.0,25.27,27.65,4,0.0,10.0,128,4.67,5.1
opt-1.3b,opt-1.3b,0.42,0.0,0.9,1.0,11.88,28.17,32.57,4,0.0,50.0,128,3.96,4.58
opt-1.3b,opt-1.3b,0.47,0.0,0.9,1.0,12.07,25.62,29.72,4,0.0,100.0,128,4.34,5.03
opt-1.3b,opt-1.3b,0.4,0.1,1.0,1.0,10.45,25.99,26.1,4,20.0,10.0,128,4.94,4.96
opt-1.3b,opt-1.3b,0.31,0.0,1.2,1.0,8.47,27.64,23.26,4,20.0,50.0,128,5.55,4.67
opt-1.3b,opt-1.3b,0.51,0.1,0.9,1.0,14.08,27.4,29.97,4,20.0,100.0,128,4.3,4.71
opt-1.3b,opt-1.3b,0.39,0.1,0.9,1.0,10.32,26.52,28.02,4,50.0,10.0,128,4.6,4.86
opt-1.3b,opt-1.3b,0.43,0.1,1.0,1.0,10.97,25.23,25.64,4,50.0,50.0,128,5.03,5.11
opt-1.3b,opt-1.3b,0.34,0.1,2.2,1.0,9.53,28.32,12.74,4,50.0,100.0,128,10.12,4.55
opt-1.3b,opt-1.3b,0.46,0.0,0.9,1.0,11.84,25.61,29.66,6,0.0,10.0,128,4.35,5.04
opt-1.3b,opt-1.3b,0.49,0.0,0.9,1.0,11.98,24.62,28.88,6,0.0,50.0,128,4.47,5.24
opt-1.3b,opt-1.3b,0.51,0.0,1.1,1.0,14.34,27.87,26.01,6,0.0,100.0,128,4.96,4.63
opt-1.3b,opt-1.3b,0.5,0.0,1.0,1.0,12.75,25.72,25.32,6,20.0,10.0,128,5.09,5.02
opt-1.3b,opt-1.3b,0.38,0.0,0.9,1.0,9.08,23.63,27.35,6,20.0,50.0,128,4.72,5.46
opt-1.3b,opt-1.3b,0.46,0.0,0.9,1.0,11.7,25.63,27.17,6,20.0,100.0,128,4.75,5.03
opt-1.3b,opt-1.3b,0.57,0.1,0.8,1.0,13.49,23.6,28.11,6,50.0,10.0,128,4.59,5.46
opt-1.3b,opt-1.3b,0.45,0.1,0.9,1.0,11.73,25.9,29.29,6,50.0,50.0,128,4.4,4.98
opt-1.3b,opt-1.3b,0.45,0.1,1.0,1.0,11.46,25.41,25.27,6,50.0,100.0,128,5.11,5.08
opt-1.3b,opt-1.3b,0.55,0.0,1.0,1.0,14.04,25.59,25.11,8,0.0,10.0,128,5.14,5.04
opt-1.3b,opt-1.3b,0.45,0.0,2.1,1.0,12.23,27.27,12.78,8,0.0,50.0,128,10.1,4.73
opt-1.3b,opt-1.3b,0.5,0.0,0.9,1.0,12.66,25.35,28.05,8,0.0,100.0,128,4.6,5.09
opt-1.3b,opt-1.3b,0.47,0.0,0.9,1.0,13.73,29.11,30.87,8,20.0,10.0,128,4.18,4.43
opt-1.3b,opt-1.3b,0.49,0.0,1.0,1.0,13.4,27.09,26.11,8,20.0,50.0,128,4.94,4.76
