model_s,model_l,speedup,b,c,accept_rate,dsp_thr,base_thr,gamma,rtt_ms,bw_Mbps,prompt_len
opt-125m,opt-125m,0.39,0.0,2.981,1.0,35.26,89.9,2,0.0,10.0,100
opt-125m,opt-125m,0.39,0.0,2.967,1.0,35.52,90.66,2,0.0,50.0,100
opt-125m,opt-125m,0.41,0.0,2.833,1.0,36.79,89.66,2,0.0,100.0,100
opt-125m,opt-125m,0.33,0.181,2.879,1.0,29.8,89.59,2,20.0,10.0,100
opt-125m,opt-125m,0.34,0.184,3.042,1.0,31.09,91.17,2,20.0,50.0,100
opt-125m,opt-125m,0.36,0.192,2.936,1.0,31.66,88.78,2,20.0,100.0,100
opt-125m,opt-125m,0.3,0.473,3.549,1.0,27.53,92.38,2,50.0,10.0,100
opt-125m,opt-125m,0.31,0.442,3.851,1.0,27.11,88.29,2,50.0,50.0,100
opt-125m,opt-125m,0.28,0.437,3.571,1.0,26.14,92.1,2,50.0,100.0,100
opt-125m,opt-125m,0.42,0.0,4.179,1.0,37.98,91.18,4,0.0,10.0,100
opt-125m,opt-125m,0.43,0.0,4.134,1.0,39.24,92.07,4,0.0,50.0,100
opt-125m,opt-125m,0.43,0.0,3.997,1.0,39.49,92.75,4,0.0,100.0,100
opt-125m,opt-125m,0.37,0.092,4.251,1.0,31.95,85.92,4,20.0,10.0,100
opt-125m,opt-125m,0.39,0.103,4.057,1.0,34.97,88.89,4,20.0,50.0,100
opt-125m,opt-125m,0.37,0.091,4.389,1.0,32.12,86.65,4,20.0,100.0,100
opt-125m,opt-125m,0.4,0.229,4.624,1.0,29.05,73.03,4,50.0,10.0,100
opt-125m,opt-125m,0.36,0.246,5.126,1.0,31.71,89.03,4,50.0,50.0,100
opt-125m,opt-125m,0.35,0.241,4.661,1.0,30.39,86.88,4,50.0,100.0,100
opt-125m,opt-125m,0.51,0.0,5.018,1.0,37.86,73.76,6,0.0,10.0,100
opt-125m,opt-125m,0.51,0.0,4.867,1.0,38.06,74.61,6,0.0,50.0,100
opt-125m,opt-125m,0.54,0.0,4.926,1.0,40.75,74.95,6,0.0,100.0,100
opt-125m,opt-125m,0.36,0.06,5.513,1.0,32.6,91.54,6,20.0,10.0,100
opt-125m,opt-125m,0.41,0.069,5.053,1.0,35.98,87.62,6,20.0,50.0,100
opt-125m,opt-125m,0.44,0.074,4.741,1.0,38.1,86.17,6,20.0,100.0,100
opt-125m,opt-125m,0.41,0.187,5.692,1.0,36.28,88.55,6,50.0,10.0,100
opt-125m,opt-125m,0.45,0.174,5.595,1.0,33.98,75.17,6,50.0,50.0,100
opt-125m,opt-125m,0.42,0.147,6.118,1.0,29.92,71.95,6,50.0,100.0,100
opt-125m,opt-125m,0.41,0.0,4.738,1.0,35.75,86.19,8,0.0,10.0,100
opt-125m,opt-125m,0.47,0.0,6.0,1.0,40.41,86.54,8,0.0,50.0,100
opt-125m,opt-125m,0.48,0.0,5.809,1.0,41.83,86.65,8,0.0,100.0,100
opt-125m,opt-125m,0.45,0.058,5.645,1.0,40.58,90.14,8,20.0,10.0,100
opt-125m,opt-125m,0.45,0.055,5.806,1.0,38.58,86.21,8,20.0,50.0,100
opt-125m,opt-125m,0.45,0.055,5.577,1.0,38.58,85.53,8,20.0,100.0,100
opt-125m,opt-125m,0.43,0.147,5.957,1.0,38.28,89.32,8,50.0,10.0,100
opt-125m,opt-125m,0.42,0.136,6.789,1.0,36.78,88.05,8,50.0,50.0,100
opt-125m,opt-125m,0.43,0.145,6.225,1.0,38.19,88.78,8,50.0,100.0,100
opt-125m,opt-1.3b,0.93,0.0,2.037,0.744,24.97,26.94,2,0.0,10.0,100
opt-125m,opt-1.3b,0.92,0.0,2.027,0.744,26.26,28.51,2,0.0,50.0,100
opt-125m,opt-1.3b,0.89,0.0,2.167,0.744,25.53,28.67,2,0.0,100.0,100
opt-125m,opt-1.3b,0.79,0.188,2.186,0.744,21.18,26.74,2,20.0,10.0,100
opt-125m,opt-1.3b,0.78,0.168,2.436,0.744,20.98,27.02,2,20.0,50.0,100
opt-125m,opt-1.3b,0.78,0.202,2.127,0.744,22.03,28.34,2,20.0,100.0,100
opt-125m,opt-1.3b,0.72,0.475,2.527,0.744,19.26,26.85,2,50.0,10.0,100
opt-125m,opt-1.3b,0.73,0.492,2.701,0.744,20.57,28.08,2,50.0,50.0,100
opt-125m,opt-1.3b,0.71,0.507,2.531,0.744,20.14,28.33,2,50.0,100.0,100
opt-125m,opt-1.3b,0.76,0.0,2.35,0.375,21.37,28.17,4,0.0,10.0,100
opt-125m,opt-1.3b,0.75,0.0,2.415,0.375,21.28,28.38,4,0.0,50.0,100
opt-125m,opt-1.3b,0.72,0.0,2.467,0.375,20.57,28.41,4,0.0,100.0,100
opt-125m,opt-1.3b,0.67,0.148,2.47,0.375,19.13,28.46,4,20.0,10.0,100
opt-125m,opt-1.3b,0.64,0.138,2.562,0.375,18.36,28.55,4,20.0,50.0,100
opt-125m,opt-1.3b,0.72,0.151,2.482,0.375,19.48,27.23,4,20.0,100.0,100
opt-125m,opt-1.3b,0.63,0.376,2.858,0.375,17.71,28.2,4,50.0,10.0,100
opt-125m,opt-1.3b,0.63,0.381,2.856,0.375,17.86,28.4,4,50.0,50.0,100
opt-125m,opt-1.3b,0.63,0.389,2.79,0.375,17.9,28.49,4,50.0,100.0,100
opt-125m,opt-1.3b,0.99,0.0,3.113,0.513,28.35,28.59,6,0.0,10.0,100
opt-125m,opt-1.3b,0.99,0.0,3.126,0.513,28.48,28.85,6,0.0,50.0,100
opt-125m,opt-1.3b,1.01,0.0,3.093,0.513,28.6,28.39,6,0.0,100.0,100
opt-125m,opt-1.3b,0.89,0.093,3.435,0.513,24.65,27.64,6,20.0,10.0,100
opt-125m,opt-1.3b,0.88,0.101,3.014,0.513,24.96,28.36,6,20.0,50.0,100
opt-125m,opt-1.3b,0.91,0.101,3.235,0.513,25.73,28.32,6,20.0,100.0,100
opt-125m,opt-1.3b,0.75,0.225,3.486,0.513,21.34,28.28,6,50.0,10.0,100
opt-125m,opt-1.3b,0.8,0.24,3.483,0.513,22.42,28.0,6,50.0,50.0,100
opt-125m,opt-1.3b,0.81,0.255,3.331,0.513,23.1,28.41,6,50.0,100.0,100
opt-125m,opt-1.3b,0.72,0.0,3.119,0.281,20.45,28.25,8,0.0,10.0,100
opt-125m,opt-1.3b,0.7,0.0,3.239,0.281,19.7,28.21,8,0.0,50.0,100
opt-125m,opt-1.3b,0.71,0.0,3.1,0.281,20.11,28.41,8,0.0,100.0,100
opt-125m,opt-1.3b,0.66,0.091,3.199,0.281,18.65,28.32,8,20.0,10.0,100
opt-125m,opt-1.3b,0.64,0.082,3.313,0.281,17.06,26.84,8,20.0,50.0,100
opt-125m,opt-1.3b,0.67,0.092,3.206,0.281,18.72,28.1,8,20.0,100.0,100
opt-125m,opt-1.3b,0.65,0.24,3.745,0.281,18.35,28.42,8,50.0,10.0,100
opt-125m,opt-1.3b,0.62,0.229,3.616,0.281,17.44,28.23,8,50.0,50.0,100
opt-125m,opt-1.3b,0.57,0.203,3.699,0.281,15.99,28.27,8,50.0,100.0,100


opt-125m,opt-6.7b,1.5,0.0,1.36,0.541,11.52,7.69,2,0.0,10.0,100
opt-125m,opt-6.7b,1.57,0.0,1.355,0.541,12.02,7.66,2,0.0,50.0,100
opt-125m,opt-6.7b,1.52,0.0,1.33,0.541,11.71,7.68,2,0.0,100.0,100
opt-125m,opt-6.7b,1.43,0.225,1.406,0.541,10.97,7.69,2,20.0,10.0,100
opt-125m,opt-6.7b,1.45,0.213,1.44,0.541,11.09,7.67,2,20.0,50.0,100
