model_s,model_l,speedup,b,c,accept_rate,dsp_thr,base_thr,gamma,rtt_ms,bw_Mbps,prompt_len
opt-125m,opt-125m,0.2,0.0,4.012,1.0,13.01,65.88,2,0.0,10.0,128
opt-125m,opt-125m,0.19,0.0,4.53,1.0,12.7,67.98,2,0.0,50.0,128
opt-125m,opt-125m,0.18,0.0,4.413,1.0,12.3,67.32,2,0.0,100.0,128
opt-125m,opt-125m,0.16,0.055,4.513,1.0,12.12,78.02,2,20.0,10.0,128
opt-125m,opt-125m,0.15,0.057,3.977,1.0,12.0,80.03,2,20.0,50.0,128
opt-125m,opt-125m,0.22,0.055,4.296,1.0,12.01,55.14,2,20.0,100.0,128
opt-125m,opt-125m,0.19,0.124,4.99,1.0,10.54,54.8,2,50.0,10.0,128
opt-125m,opt-125m,0.25,0.125,4.407,1.0,10.26,41.11,2,50.0,50.0,128
opt-125m,opt-125m,0.23,0.117,5.02,1.0,10.08,43.62,2,50.0,100.0,128
opt-125m,opt-125m,0.23,0.0,5.814,1.0,11.2,48.29,4,0.0,10.0,128
opt-125m,opt-125m,0.27,0.0,5.717,1.0,10.85,40.43,4,0.0,50.0,128
opt-125m,opt-125m,0.23,0.0,6.302,1.0,10.56,45.33,4,0.0,100.0,128
opt-125m,opt-125m,0.23,0.026,5.179,1.0,10.35,44.24,4,20.0,10.0,128
opt-125m,opt-125m,0.14,0.026,5.827,1.0,10.35,72.17,4,20.0,50.0,128
opt-125m,opt-125m,0.16,0.026,5.992,1.0,10.65,65.78,4,20.0,100.0,128
opt-125m,opt-125m,0.13,0.064,5.956,1.0,9.95,75.65,4,50.0,10.0,128
opt-125m,opt-125m,0.16,0.067,6.172,1.0,10.49,67.29,4,50.0,50.0,128
opt-125m,opt-125m,0.13,0.06,7.134,1.0,9.67,73.48,4,50.0,100.0,128
opt-125m,opt-125m,0.22,0.0,7.521,1.0,10.33,46.77,6,0.0,10.0,128
opt-125m,opt-125m,0.25,0.0,8.279,1.0,9.8,39.4,6,0.0,50.0,128
opt-125m,opt-125m,0.27,0.0,6.211,1.0,9.51,35.12,6,0.0,100.0,128
opt-125m,opt-125m,0.28,0.016,7.24,1.0,9.7,35.0,6,20.0,10.0,128
opt-125m,opt-125m,0.27,0.018,7.082,1.0,10.38,38.09,6,20.0,50.0,128
opt-125m,opt-125m,0.22,0.016,6.726,1.0,9.24,41.47,6,20.0,100.0,128
opt-125m,opt-125m,0.21,0.041,7.823,1.0,9.55,45.78,6,50.0,10.0,128
opt-125m,opt-125m,0.13,0.043,7.015,1.0,9.94,73.97,6,50.0,50.0,128
opt-125m,opt-125m,0.18,0.04,7.83,1.0,9.48,53.78,6,50.0,100.0,128
opt-125m,opt-125m,0.28,0.0,10.476,1.0,8.66,30.48,8,0.0,10.0,128
opt-125m,opt-125m,0.21,0.0,9.156,1.0,9.47,44.14,8,0.0,50.0,128
opt-125m,opt-125m,0.16,0.0,8.695,1.0,8.7,56.05,8,0.0,100.0,128
opt-125m,opt-125m,0.16,0.011,9.457,1.0,8.7,55.73,8,20.0,10.0,128
opt-125m,opt-125m,0.26,0.012,7.87,1.0,9.4,35.63,8,20.0,50.0,128
opt-125m,opt-125m,0.25,0.013,7.84,1.0,9.84,39.72,8,20.0,100.0,128
opt-125m,opt-125m,0.13,0.034,7.107,1.0,10.1,76.93,8,50.0,10.0,128
opt-125m,opt-125m,0.18,0.034,9.085,1.0,10.51,58.24,8,50.0,50.0,128
opt-125m,opt-125m,0.26,0.035,6.731,1.0,10.28,40.03,8,50.0,100.0,128
opt-125m,opt-1.3b,0.71,0.0,3.565,0.717,9.79,13.79,2,0.0,10.0,128
opt-125m,opt-1.3b,0.76,0.0,3.666,0.717,8.58,11.29,2,0.0,50.0,128
opt-125m,opt-1.3b,0.82,0.0,3.844,0.717,8.41,10.24,2,0.0,100.0,128
opt-125m,opt-1.3b,0.66,0.045,4.275,0.717,8.01,12.08,2,20.0,10.0,128
opt-125m,opt-1.3b,0.54,0.047,4.05,0.717,8.27,15.21,2,20.0,50.0,128
opt-125m,opt-1.3b,0.68,0.054,3.902,0.717,9.18,13.46,2,20.0,100.0,128
opt-125m,opt-1.3b,0.65,0.119,4.264,0.717,7.9,12.15,2,50.0,10.0,128
opt-125m,opt-1.3b,0.48,0.116,4.491,0.717,7.85,16.27,2,50.0,50.0,128
opt-125m,opt-1.3b,0.53,0.136,3.82,0.717,8.59,16.1,2,50.0,100.0,128
opt-125m,opt-1.3b,0.39,0.0,6.219,0.575,6.45,16.59,4,0.0,10.0,128
opt-125m,opt-1.3b,0.28,0.0,5.515,0.575,7.2,25.45,4,0.0,50.0,128
opt-125m,opt-1.3b,0.28,0.0,6.628,0.575,6.9,24.48,4,0.0,100.0,128
opt-125m,opt-1.3b,0.47,0.024,5.961,0.575,6.54,13.9,4,20.0,10.0,128
opt-125m,opt-1.3b,0.55,0.024,5.981,0.575,6.56,11.87,4,20.0,50.0,128
opt-125m,opt-1.3b,0.3,0.026,5.879,0.575,6.93,22.76,4,20.0,100.0,128
opt-125m,opt-1.3b,0.5,0.055,6.647,0.575,5.86,11.6,4,50.0,10.0,128
opt-125m,opt-1.3b,0.41,0.064,5.932,0.575,6.62,16.08,4,50.0,50.0,128
