model_s,model_l,speedup,b,c,accept_rate,dsp_thr,base_thr,slm_thr,gamma,rtt_ms,bw_Mbps,prompt_len,t_ar_slm,t_ar_llm
opt-125m,opt-1.3b,0.31,0.1,2.6,0.717,9.95,31.62,12.3,2,20.0,10.0,128,10.49,4.08
opt-125m,opt-1.3b,0.13,0.0,10.6,0.575,3.94,29.92,2.83,4,20.0,10.0,128,45.63,4.31
opt-125m,opt-1.3b,0.03,0.0,18.3,0.367,0.96,28.07,1.53,6,20.0,10.0,128,84.17,4.6
opt-125m,opt-1.3b,0.08,0.0,17.8,0.364,2.5,29.65,1.66,8,20.0,10.0,128,77.5,4.35
opt-125m,opt-6.7b,0.19,0.0,1.2,0.731,1.28,6.64,5.45,2,20.0,10.0,128,23.65,19.43
opt-125m,opt-6.7b,0.22,0.0,4.1,0.427,1.31,5.98,1.45,4,20.0,10.0,128,89.21,21.59
opt-125m,opt-6.7b,0.33,0.0,2.7,0.392,2.19,6.71,2.49,6,20.0,10.0,128,51.78,19.22
opt-125m,opt-6.7b,0.12,0.0,3.0,0.268,0.76,6.49,2.15,8,20.0,10.0,128,59.89,19.88
opt-125m,opt-6.7b,0.67,0.1,0.6,0.427,5.61,8.42,13.61,4,20.0,50.0,128,9.48,15.33
opt-125m,opt-6.7b,0.61,0.0,0.6,0.392,5.05,8.31,13.3,6,20.0,50.0,128,9.7,15.52
