model_s,model_l,speedup,b,c,accept_rate,dsp_thr,base_thr,slm_thr,gamma,rtt_ms,bw_Mbps,prompt_len,t_ar_slm,t_ar_llm
opt-125m,opt-125m,0.14,0.0,17.5,1.0,8.65,59.87,3.43,2,0.0,10.0,128,37.65,2.15
opt-125m,opt-125m,0.11,0.0,18.0,1.0,7.29,68.86,3.82,2,0.0,50.0,128,33.77,1.87
opt-125m,opt-125m,0.08,0.0,13.9,1.0,5.12,65.62,4.73,2,0.0,100.0,128,27.27,1.97
opt-125m,opt-125m,0.09,0.0,16.8,1.0,5.69,64.09,3.81,2,20.0,10.0,128,33.85,2.01
opt-125m,opt-125m,0.06,0.0,21.2,1.0,4.68,78.27,3.69,2,20.0,50.0,128,34.97,1.65
opt-125m,opt-125m,0.06,0.0,22.1,1.0,4.72,78.98,3.57,2,20.0,100.0,128,36.12,1.63
opt-125m,opt-125m,0.07,0.1,18.3,1.0,4.88,68.7,3.76,2,50.0,10.0,128,34.31,1.88
opt-125m,opt-125m,0.06,0.0,18.9,1.0,4.59,79.08,4.19,2,50.0,50.0,128,30.76,1.63
opt-125m,opt-125m,0.08,0.1,17.8,1.0,6.12,74.63,4.19,2,50.0,100.0,128,30.81,1.73
opt-125m,opt-125m,0.08,0.0,21.3,1.0,6.67,81.51,3.83,4,0.0,10.0,128,33.64,1.58
opt-125m,opt-125m,0.06,0.0,17.5,1.0,4.65,80.73,4.63,4,0.0,50.0,128,27.88,1.6
opt-125m,opt-125m,0.04,0.0,15.2,1.0,3.16,79.75,5.24,4,0.0,100.0,128,24.63,1.62
opt-125m,opt-125m,0.06,0.0,13.9,1.0,4.03,72.1,5.17,4,20.0,10.0,128,24.96,1.79
opt-125m,opt-125m,0.05,0.0,12.2,1.0,3.17,67.75,5.57,4,20.0,50.0,128,23.17,1.9
opt-125m,opt-125m,0.05,0.0,16.2,1.0,3.59,74.39,4.58,4,20.0,100.0,128,28.14,1.73
opt-125m,opt-125m,0.04,0.0,15.6,1.0,3.24,76.82,4.91,4,50.0,10.0,128,26.26,1.68
opt-125m,opt-125m,0.04,0.0,18.3,1.0,3.26,80.56,4.4,4,50.0,50.0,128,29.31,1.6
opt-125m,opt-125m,0.07,0.0,17.3,1.0,3.92,59.02,3.4,4,50.0,100.0,128,37.9,2.19
opt-125m,opt-125m,0.06,0.0,16.6,1.0,4.27,73.66,4.44,6,0.0,10.0,128,29.03,1.75
opt-125m,opt-125m,0.08,0.0,24.5,1.0,6.16,73.85,3.01,6,0.0,50.0,128,42.8,1.75
opt-125m,opt-125m,0.07,0.0,23.3,1.0,5.22,76.81,3.29,6,0.0,100.0,128,39.18,1.68
opt-125m,opt-125m,0.06,0.0,18.8,1.0,4.78,76.0,4.04,6,20.0,10.0,128,31.91,1.7
opt-125m,opt-125m,0.04,0.0,17.4,1.0,3.47,77.6,4.47,6,20.0,50.0,128,28.88,1.66
opt-125m,opt-125m,0.04,0.0,15.8,1.0,3.06,77.07,4.87,6,20.0,100.0,128,26.48,1.67
opt-125m,opt-125m,0.04,0.0,10.8,1.0,3.05,67.9,6.31,6,50.0,10.0,128,20.43,1.9
opt-125m,opt-125m,0.06,0.0,11.6,1.0,4.18,64.45,5.54,6,50.0,50.0,128,23.29,2.0
opt-125m,opt-125m,0.05,0.0,20.8,1.0,3.94,72.18,3.48,6,50.0,100.0,128,37.12,1.79
opt-125m,opt-125m,0.04,0.0,17.6,1.0,3.24,73.02,4.15,8,0.0,10.0,128,31.11,1.77
opt-125m,opt-125m,0.05,0.0,7.4,1.0,3.01,62.07,8.37,8,0.0,50.0,128,15.41,2.08
opt-125m,opt-125m,0.04,0.0,13.9,1.0,2.92,76.89,5.52,8,0.0,100.0,128,23.37,1.68
opt-125m,opt-125m,0.05,0.0,12.4,1.0,3.2,62.48,5.05,8,20.0,10.0,128,25.55,2.06
opt-125m,opt-125m,0.05,0.0,13.2,1.0,3.7,77.22,5.85,8,20.0,50.0,128,22.05,1.67
opt-125m,opt-125m,0.05,0.0,16.1,1.0,3.82,79.64,4.95,8,20.0,100.0,128,26.04,1.62
opt-125m,opt-125m,0.08,0.0,14.8,1.0,5.55,71.05,4.78,8,50.0,10.0,128,26.96,1.82
opt-125m,opt-125m,0.05,0.0,10.2,1.0,3.51,71.67,7.0,8,50.0,50.0,128,18.43,1.8
opt-125m,opt-125m,0.06,0.0,14.8,1.0,4.09,72.74,4.9,8,50.0,100.0,128,26.31,1.77
opt-125m,opt-1.3b,0.17,0.0,3.9,0.717,4.64,27.96,7.18,2,0.0,10.0,128,17.97,4.61
opt-125m,opt-1.3b,0.14,0.0,4.3,0.717,4.05,28.61,6.68,2,0.0,50.0,128,19.3,4.51
opt-125m,opt-1.3b,0.16,0.0,3.7,0.717,4.37,27.07,7.3,2,0.0,100.0,128,17.67,4.77
opt-125m,opt-1.3b,0.12,0.0,8.4,0.717,3.6,29.23,3.49,2,20.0,10.0,128,36.98,4.41
opt-125m,opt-1.3b,0.17,0.0,4.9,0.717,4.4,25.83,5.28,2,20.0,50.0,128,24.41,4.99
opt-125m,opt-1.3b,0.14,0.0,5.5,0.717,3.99,28.36,5.18,2,20.0,100.0,128,24.92,4.55
opt-125m,opt-1.3b,0.15,0.1,6.1,0.717,4.04,27.82,4.57,2,50.0,10.0,128,28.25,4.64
opt-125m,opt-1.3b,0.23,0.1,5.2,0.717,5.7,24.97,4.78,2,50.0,50.0,128,27.0,5.17
opt-125m,opt-1.3b,0.1,0.0,7.7,0.717,2.87,28.6,3.72,2,50.0,100.0,128,34.69,4.51
opt-125m,opt-1.3b,0.11,0.0,7.0,0.575,2.9,25.82,3.69,4,0.0,10.0,128,34.98,5.0
opt-125m,opt-1.3b,0.12,0.0,6.4,0.575,3.13,26.41,4.1,4,0.0,50.0,128,31.44,4.88
opt-125m,opt-1.3b,0.1,0.0,6.4,0.575,2.92,28.45,4.46,4,0.0,100.0,128,28.93,4.53
opt-125m,opt-1.3b,0.11,0.0,7.5,0.575,3.0,27.64,3.7,4,20.0,10.0,128,34.85,4.67
