model_s,model_l,speedup,b,c,accept_rate,dsp_thr,base_thr,slm_thr,gamma,rtt_ms,bw_Mbps,prompt_len,t_ar_slm,t_ar_llm
opt-1.3b,opt-1.3b,0.06,0.0,22.7,1.0,1.69,28.55,1.26,2,0.0,10.0,128,102.7,4.52
opt-1.3b,opt-1.3b,0.06,0.0,21.9,1.0,1.54,26.58,1.22,2,0.0,50.0,128,106.04,4.85
opt-1.3b,opt-1.3b,0.07,0.0,25.8,1.0,1.87,28.18,1.09,2,0.0,100.0,128,118.06,4.58
opt-1.3b,opt-1.3b,0.04,0.0,27.5,1.0,1.27,28.58,1.04,2,20.0,10.0,128,124.3,4.51
opt-1.3b,opt-1.3b,0.05,0.0,25.4,1.0,1.31,28.3,1.11,2,20.0,50.0,128,115.72,4.56
opt-1.3b,opt-1.3b,0.05,0.0,24.2,1.0,1.38,28.58,1.18,2,20.0,100.0,128,109.32,4.51
opt-1.3b,opt-1.3b,0.06,0.0,21.2,1.0,1.43,25.82,1.22,2,50.0,10.0,128,105.89,5.0
opt-1.3b,opt-1.3b,0.05,0.0,24.0,1.0,1.39,27.03,1.13,2,50.0,50.0,128,114.46,4.77
opt-1.3b,opt-1.3b,0.04,0.0,23.5,1.0,1.22,27.49,1.17,2,50.0,100.0,128,110.42,4.69
opt-1.3b,opt-1.3b,0.04,0.0,25.3,1.0,1.13,27.26,1.08,4,0.0,10.0,128,119.91,4.73
opt-1.3b,opt-1.3b,0.06,0.0,20.3,1.0,1.31,23.48,1.16,4,0.0,50.0,128,111.53,5.49
opt-1.3b,opt-1.3b,0.05,0.0,24.3,1.0,1.2,26.55,1.09,4,0.0,100.0,128,117.94,4.86
opt-1.3b,opt-1.3b,0.04,0.0,25.1,1.0,1.12,28.42,1.13,4,20.0,10.0,128,114.02,4.54
opt-1.3b,opt-1.3b,0.04,0.0,26.7,1.0,0.96,25.79,0.97,4,20.0,50.0,128,133.38,5.0
opt-1.3b,opt-1.3b,0.03,0.0,27.9,1.0,0.91,26.75,0.96,4,20.0,100.0,128,134.4,4.82
opt-1.3b,opt-1.3b,0.04,0.0,25.9,1.0,0.99,27.1,1.05,4,50.0,10.0,128,123.31,4.76
opt-1.3b,opt-1.3b,0.04,0.0,26.3,1.0,1.0,26.32,1.0,4,50.0,50.0,128,129.1,4.9
opt-1.3b,opt-1.3b,0.04,0.0,29.5,1.0,1.12,27.96,0.95,4,50.0,100.0,128,136.28,4.61
opt-1.3b,opt-1.3b,0.04,0.0,21.3,1.0,1.01,27.92,1.31,6,0.0,10.0,128,98.58,4.62
