model_s,model_l,speedup,b,c,accept_rate,dsp_thr,base_thr,slm_thr,gamma,rtt_ms,bw_Mbps,prompt_len,t_ar_slm,t_ar_llm
,,1.54,0.2,0.1,0.467,13.27,8.6,68.02,4,20.0,100.0,128,1.9,15.0
,,1.64,0.3,0.1,0.467,13.99,8.5,89.98,4,20.0,50.0,128,1.43,15.17
,,1.65,0.3,0.1,0.467,14.04,8.5,88.24,4,20.0,100.0,128,1.46,15.18
,,1.52,0.8,0.1,0.467,12.87,8.49,88.95,4,50.0,100.0,128,1.45,15.19
,,1.54,0.8,0.1,0.467,13.03,8.46,88.86,4,50.0,50.0,128,1.45,15.25
,,1.53,0.8,0.1,0.467,12.92,8.46,90.12,4,50.0,100.0,128,1.43,15.25
,,1.7,0.3,0.1,0.439,14.39,8.46,87.55,5,20.0,100.0,128,1.47,15.25
,,1.72,0.3,0.1,0.439,14.55,8.47,87.66,5,20.0,50.0,128,1.47,15.24
,,1.72,0.3,0.1,0.439,14.51,8.42,88.31,5,20.0,100.0,128,1.46,15.33
,,1.5,0.5,0.1,0.439,12.68,8.46,68.13,5,50.0,100.0,128,1.89,15.26
,,1.59,0.7,0.1,0.439,13.48,8.46,91.31,5,50.0,50.0,128,1.41,15.25
,,1.6,0.7,0.1,0.439,13.58,8.47,87.35,5,50.0,100.0,128,1.48,15.24
,,1.45,0.3,0.1,0.256,12.27,8.47,87.73,8,20.0,100.0,128,1.47,15.24
,,1.47,0.3,0.1,0.256,12.41,8.46,88.63,8,20.0,50.0,128,1.46,15.24
,,1.32,0.2,0.1,0.256,11.16,8.45,66.57,8,20.0,100.0,128,1.94,15.26
,,1.36,0.8,0.1,0.256,11.56,8.47,91.59,8,50.0,100.0,128,1.41,15.23
,,1.36,0.7,0.1,0.256,11.49,8.47,88.21,8,50.0,50.0,128,1.46,15.23
,,1.36,0.7,0.1,0.256,11.48,8.45,87.24,8,50.0,100.0,128,1.48,15.26
,,1.82,0.3,0.1,0.39,8.21,4.51,87.95,4,20.0,100.0,128,1.47,28.62
,,1.82,0.3,0.1,0.39,8.2,4.51,89.2,4,20.0,50.0,128,1.45,28.6
,,1.83,0.3,0.1,0.39,8.26,4.5,89.08,4,20.0,100.0,128,1.45,28.64
,,1.73,0.9,0.1,0.39,7.8,4.51,88.98,4,50.0,100.0,128,1.45,28.62
,,1.73,0.9,0.1,0.39,7.82,4.51,88.23,4,50.0,50.0,128,1.46,28.61
,,1.75,0.9,0.0,0.39,7.89,4.5,90.18,4,50.0,100.0,128,1.43,28.64
,,2.11,0.3,0.0,0.424,9.51,4.51,90.31,5,20.0,100.0,128,1.43,28.6
,,2.08,0.3,0.0,0.424,9.4,4.51,91.75,5,20.0,50.0,128,1.41,28.6
,,2.08,0.3,0.1,0.424,9.36,4.51,88.15,5,20.0,100.0,128,1.46,28.61
,,2.01,0.7,0.1,0.424,9.06,4.51,90.04,5,50.0,100.0,128,1.43,28.63
,,1.98,0.7,0.0,0.424,8.91,4.51,92.09,5,50.0,50.0,128,1.4,28.61
,,2.0,0.7,0.1,0.424,9.02,4.5,87.49,5,50.0,100.0,128,1.47,28.65
,,2.06,0.3,0.1,0.291,9.31,4.51,88.82,8,20.0,100.0,128,1.45,28.62
,,1.99,0.3,0.1,0.291,8.98,4.51,88.76,8,20.0,50.0,128,1.45,28.59
,,2.01,0.3,0.1,0.291,9.05,4.51,87.39,8,20.0,100.0,128,1.48,28.62
,,1.96,0.7,0.1,0.291,8.86,4.51,89.54,8,50.0,100.0,128,1.44,28.59
,,1.99,0.7,0.1,0.291,8.94,4.5,87.56,8,50.0,50.0,128,1.47,28.65
,,1.98,0.7,0.1,0.291,8.92,4.51,88.8,8,50.0,100.0,128,1.45,28.59
