model_s,model_l,speedup,b,c,accept_rate,dsp_thr,base_thr,slm_thr,gamma,rtt_ms,bw_Mbps,prompt_len,t_ar_slm,t_ar_llm
160m,7b,1.61,0.3,0.1,0.467,13.6,8.47,84.87,4,20.0,50.0,128,1.52,15.23
160m,7b,1.59,0.3,0.1,0.467,13.33,8.36,81.56,4,20.0,100.0,128,1.58,15.43
160m,7b,1.49,0.7,0.1,0.467,12.4,8.3,82.61,4,50.0,50.0,128,1.56,15.55
160m,7b,1.48,0.7,0.1,0.467,12.31,8.3,77.62,4,50.0,100.0,128,1.66,15.55
160m,7b,1.51,0.2,0.1,0.467,12.85,8.5,70.04,4,20.0,50.0,128,1.84,15.17
160m,7b,1.65,0.3,0.1,0.467,13.99,8.46,91.97,4,20.0,100.0,128,1.4,15.26
160m,7b,1.52,0.6,0.1,0.467,12.7,8.38,68.5,4,50.0,50.0,128,1.88,15.4
160m,7b,1.52,0.8,0.1,0.467,12.8,8.4,92.03,4,50.0,100.0,128,1.4,15.36
160m,7b,1.55,0.2,0.1,0.439,12.95,8.38,70.7,5,20.0,50.0,128,1.82,15.39
160m,7b,1.71,0.3,0.1,0.439,14.31,8.38,90.84,5,20.0,100.0,128,1.42,15.4
160m,7b,1.6,0.5,0.1,0.439,13.35,8.36,67.87,5,50.0,50.0,128,1.9,15.44
160m,7b,1.5,0.7,0.1,0.439,12.62,8.4,90.68,5,50.0,100.0,128,1.42,15.36
160m,13b,1.38,0.3,0.1,0.256,11.59,8.4,91.18,8,20.0,50.0,128,1.41,15.36
160m,13b,1.42,0.3,0.1,0.256,11.89,8.38,89.53,8,20.0,100.0,128,1.44,15.39
160m,13b,1.33,0.7,0.1,0.256,11.16,8.39,88.48,8,50.0,50.0,128,1.46,15.37
160m,13b,1.32,0.8,0.1,0.256,11.14,8.41,91.87,8,50.0,100.0,128,1.4,15.34
160m,13b,1.87,0.4,0.0,0.39,8.41,4.5,92.0,4,20.0,50.0,128,1.4,28.66
160m,13b,1.84,0.3,0.0,0.39,8.26,4.49,90.27,4,20.0,100.0,128,1.43,28.7
160m,13b,1.72,0.9,0.1,0.39,7.71,4.47,89.41,4,50.0,50.0,128,1.44,28.83
160m,13b,1.76,0.8,0.1,0.39,7.87,4.48,87.65,4,50.0,100.0,128,1.47,28.81
160m,13b,2.09,0.3,0.1,0.424,9.37,4.48,88.34,5,20.0,50.0,128,1.46,28.78
160m,13b,2.09,0.3,0.0,0.424,9.39,4.49,89.93,5,20.0,100.0,128,1.43,28.75
160m,13b,2.0,0.7,0.1,0.424,8.97,4.48,89.26,5,50.0,50.0,128,1.45,28.78
160m,13b,2.01,0.7,0.1,0.424,9.03,4.49,89.7,5,50.0,100.0,128,1.44,28.76
160m,13b,2.08,0.3,0.0,0.291,9.32,4.48,89.95,8,20.0,50.0,128,1.43,28.79
160m,13b,2.08,0.3,0.1,0.291,9.32,4.48,89.15,8,20.0,100.0,128,1.45,28.79
160m,13b,1.99,0.7,0.0,0.291,8.93,4.49,92.91,8,50.0,50.0,128,1.39,28.75
160m,13b,2.0,0.7,0.0,0.291,8.94,4.48,90.16,8,50.0,100.0,128,1.43,28.82

125m,opt-6.7b,1.95,0.0,0.1,0.392,15.97,8.19,152.74,6,0.0,100.0,128,0.84,15.74
125m,opt-6.7b,1.88,0.0,0.1,0.392,15.26,8.1,157.41,6,0.0,50.0,128,0.82,15.92
125m,opt-6.7b,1.9,0.0,0.1,0.392,15.35,8.06,153.89,6,0.0,100.0,128,0.84,16.01
125m,opt-6.7b,1.92,0.5,0.1,0.392,15.48,8.05,156.1,6,20.0,100.0,128,0.83,16.03
125m,opt-6.7b,1.79,0.4,0.1,0.392,14.37,8.03,127.6,6,20.0,50.0,128,1.01,16.07
125m,opt-6.7b,1.85,0.5,0.1,0.392,14.82,8.03,149.53,6,20.0,100.0,128,0.86,16.06
125m,opt-6.7b,1.76,1.0,0.1,0.392,14.13,8.02,127.19,6,50.0,100.0,128,1.01,16.08
125m,opt-6.7b,1.73,1.2,0.1,0.392,13.91,8.03,151.79,6,50.0,50.0,128,0.85,16.06
125m,opt-6.7b,1.79,1.2,0.1,0.392,14.39,8.03,154.77,6,50.0,100.0,128,0.83,16.06
125m,opt-6.7b,1.87,0.0,0.1,0.288,15.0,8.02,152.67,8,0.0,100.0,128,0.84,16.08
125m,opt-6.7b,1.88,0.0,0.1,0.288,15.09,8.03,158.95,8,0.0,50.0,128,0.81,16.06
125m,opt-6.7b,1.91,0.0,0.0,0.288,15.38,8.04,160.8,8,0.0,100.0,128,0.8,16.05
125m,opt-6.7b,1.71,0.4,0.1,0.288,13.7,8.03,128.25,8,20.0,100.0,128,1.01,16.07
