model_s,model_l,speedup,b,c,accept_rate,dsp_thr,base_thr,gamma,rtt_ms,bw_Mbps,prompt_len
opt-1.3b,opt-125m,0.28,0.0,4.233,0.585,17.04,60.0,2,0.0,10.0,128
opt-1.3b,opt-125m,0.15,0.0,4.502,0.585,14.17,96.86,2,0.0,50.0,128
opt-1.3b,opt-125m,0.18,0.0,4.639,0.585,16.65,92.18,2,0.0,100.0,128
opt-1.3b,opt-125m,0.18,0.086,5.316,0.585,13.86,78.13,2,20.0,10.0,128
opt-1.3b,opt-125m,0.17,0.09,4.465,0.585,13.79,83.31,2,20.0,50.0,128
opt-1.3b,opt-125m,0.2,0.095,4.272,0.585,14.38,70.36,2,20.0,100.0,128
opt-1.3b,opt-125m,0.15,0.233,5.326,0.585,13.24,86.68,2,50.0,10.0,128
opt-1.3b,opt-125m,0.21,0.261,4.084,0.585,13.49,64.59,2,50.0,50.0,128
opt-1.3b,opt-125m,0.2,0.26,3.311,0.585,12.45,63.39,2,50.0,100.0,128
opt-1.3b,opt-125m,0.14,0.0,4.589,0.467,11.75,86.3,4,0.0,10.0,128
opt-1.3b,opt-125m,0.18,0.0,3.209,0.467,10.6,58.6,4,0.0,50.0,128
opt-1.3b,opt-125m,0.16,0.0,3.087,0.467,9.04,55.05,4,0.0,100.0,128
opt-1.3b,opt-125m,0.12,0.044,3.522,0.467,8.71,70.21,4,20.0,10.0,128
opt-1.3b,opt-125m,0.12,0.047,3.845,0.467,9.49,81.42,4,20.0,50.0,128
opt-1.3b,opt-125m,0.13,0.047,4.07,0.467,9.59,73.12,4,20.0,100.0,128
opt-1.3b,opt-125m,0.1,0.119,5.013,0.467,9.74,96.75,4,50.0,10.0,128
opt-1.3b,opt-125m,0.12,0.123,4.638,0.467,9.8,82.3,4,50.0,50.0,128
opt-1.3b,opt-125m,0.16,0.135,5.459,0.467,11.11,69.3,4,50.0,100.0,128
opt-1.3b,opt-125m,0.18,0.0,4.799,0.414,10.33,56.57,6,0.0,10.0,128
opt-1.3b,opt-125m,0.14,0.0,3.85,0.414,8.93,64.31,6,0.0,50.0,128
opt-1.3b,opt-125m,0.13,0.0,4.604,0.414,10.0,75.38,6,0.0,100.0,128
opt-1.3b,opt-125m,0.12,0.034,4.159,0.414,8.73,72.58,6,20.0,10.0,128
opt-1.3b,opt-125m,0.12,0.033,3.671,0.414,7.99,66.58,6,20.0,50.0,128
opt-1.3b,opt-125m,0.19,0.03,5.036,0.414,8.0,42.8,6,20.0,100.0,128
opt-1.3b,opt-125m,0.14,0.068,7.301,0.414,7.66,53.49,6,50.0,10.0,128
opt-1.3b,opt-125m,0.12,0.071,5.911,0.414,7.71,62.45,6,50.0,50.0,128
opt-1.3b,opt-125m,0.08,0.07,5.758,0.414,7.54,89.69,6,50.0,100.0,128
opt-1.3b,opt-125m,0.09,0.0,9.881,0.296,6.61,72.36,8,0.0,10.0,128
opt-1.3b,opt-125m,0.22,0.0,9.145,0.296,6.17,27.56,8,0.0,50.0,128
opt-1.3b,opt-125m,0.19,0.0,9.388,0.296,6.03,31.05,8,0.0,100.0,128
opt-1.3b,opt-125m,0.26,0.022,7.454,0.296,6.21,24.12,8,20.0,10.0,128
opt-1.3b,opt-125m,0.17,0.021,7.13,0.296,6.04,36.36,8,20.0,50.0,128
opt-1.3b,opt-125m,0.26,0.025,6.799,0.296,6.99,26.69,8,20.0,100.0,128
opt-1.3b,opt-125m,0.33,0.062,7.379,0.296,6.77,20.62,8,50.0,10.0,128
opt-1.3b,opt-125m,0.17,0.054,7.566,0.296,5.97,34.7,8,50.0,50.0,128
opt-1.3b,opt-125m,0.23,0.063,7.347,0.296,6.84,29.82,8,50.0,100.0,128
opt-1.3b,opt-1.3b,0.6,0.0,2.244,1.0,11.16,18.71,2,0.0,10.0,128
opt-1.3b,opt-1.3b,0.72,0.0,2.153,1.0,14.6,20.15,2,0.0,50.0,128
opt-1.3b,opt-1.3b,1.19,0.0,2.711,1.0,17.96,15.1,2,0.0,100.0,128
opt-1.3b,opt-1.3b,0.69,0.073,3.337,1.0,14.29,20.81,2,20.0,10.0,128
opt-1.3b,opt-1.3b,0.41,0.048,4.623,1.0,10.79,26.6,2,20.0,50.0,128
opt-1.3b,opt-1.3b,0.84,0.065,2.731,1.0,11.56,13.77,2,20.0,100.0,128
opt-1.3b,opt-1.3b,0.37,0.172,2.34,1.0,10.04,27.16,2,50.0,10.0,128
opt-1.3b,opt-1.3b,0.48,0.215,2.341,1.0,12.11,25.11,2,50.0,50.0,128
opt-1.3b,opt-1.3b,0.39,0.136,4.599,1.0,11.2,28.81,2,50.0,100.0,128
opt-1.3b,opt-1.3b,0.67,0.0,4.166,1.0,13.31,20.01,4,0.0,10.0,128
