model_s,model_l,speedup,b,c,accept_rate,dsp_thr,base_thr,slm_thr,gamma,rtt_ms,bw_Mbps,prompt_len,t_ar_slm,t_ar_llm
opt-1.3b,opt-1.3b,0.03,0.0,37.0,1.0,0.94,27.25,0.74,2,0.0,10.0,128,175.35,4.73
opt-1.3b,opt-1.3b,0.03,0.0,29.6,1.0,0.88,29.1,0.98,2,0.0,50.0,128,131.22,4.43
opt-1.3b,opt-1.3b,0.05,0.0,27.4,1.0,1.18,26.11,0.95,2,0.0,100.0,128,135.63,4.94
opt-1.3b,opt-1.3b,0.04,0.0,29.7,1.0,0.95,26.91,0.9,2,20.0,10.0,128,142.59,4.79
opt-1.3b,opt-1.3b,0.04,0.0,18.8,1.0,1.14,28.75,1.53,2,20.0,50.0,128,84.42,4.49
opt-1.3b,opt-1.3b,0.07,0.0,17.7,1.0,2.15,29.08,1.64,2,20.0,100.0,128,78.47,4.44
opt-1.3b,opt-1.3b,0.07,0.0,16.6,1.0,2.11,28.88,1.74,2,50.0,10.0,128,74.21,4.47
opt-1.3b,opt-1.3b,0.07,0.0,17.8,1.0,2.12,29.16,1.64,2,50.0,50.0,128,78.7,4.42
opt-1.3b,opt-1.3b,0.07,0.0,16.9,1.0,2.07,28.99,1.71,2,50.0,100.0,128,75.3,4.45
opt-1.3b,opt-1.3b,0.07,0.0,17.4,1.0,1.95,28.66,1.64,4,0.0,10.0,128,78.44,4.5
opt-1.3b,opt-1.3b,0.06,0.0,15.9,1.0,1.83,28.65,1.8,4,0.0,50.0,128,71.73,4.5
opt-1.3b,opt-1.3b,0.06,0.0,17.0,1.0,1.83,28.53,1.68,4,0.0,100.0,128,76.88,4.52
opt-1.3b,opt-1.3b,0.06,0.0,17.6,1.0,1.85,28.88,1.64,4,20.0,10.0,128,78.49,4.47
opt-1.3b,opt-1.3b,0.06,0.0,17.4,1.0,1.8,29.11,1.68,4,20.0,50.0,128,76.94,4.43
opt-1.3b,opt-1.3b,0.06,0.0,17.4,1.0,1.81,29.0,1.67,4,20.0,100.0,128,77.26,4.45
