model_s,model_l,speedup,b,c,accept_rate,dsp_thr,base_thr,slm_thr,gamma,rtt_ms,bw_Mbps,prompt_len,t_ar_slm,t_ar_llm
,opt-6.7b,2.09,0.0,0.0,0.395,6.55,3.14,105.77,4,0.0,10.0,128,1.22,41.09
,opt-6.7b,2.07,0.0,0.0,0.395,6.41,3.1,102.92,4,0.0,50.0,128,1.25,41.66
,opt-6.7b,2.13,0.0,0.0,0.395,6.58,3.09,106.69,4,0.0,100.0,128,1.21,41.69
,opt-6.7b,2.02,0.4,0.0,0.395,6.3,3.11,103.69,4,20.0,10.0,128,1.24,41.46
,opt-6.7b,2.02,0.4,0.0,0.395,6.3,3.12,105.27,4,20.0,50.0,128,1.23,41.29
,opt-6.7b,2.28,0.4,0.0,0.395,6.59,2.89,107.82,4,20.0,100.0,128,1.2,44.71
,opt-6.7b,1.02,1.0,0.1,0.395,5.71,5.62,106.09,4,50.0,10.0,128,1.22,22.95
,opt-6.7b,1.35,1.0,0.1,0.395,10.33,7.65,104.53,4,50.0,50.0,128,1.23,16.87
,opt-6.7b,1.39,1.0,0.1,0.395,10.61,7.63,105.23,4,50.0,100.0,128,1.23,16.9

,opt-6.7b,1.81,0.0,0.1,0.392,13.86,7.66,106.62,6,0.0,10.0,128,1.21,16.84
,opt-6.7b,1.82,0.0,0.1,0.392,13.93,7.66,107.58,6,0.0,50.0,128,1.2,16.84
,opt-6.7b,1.75,0.0,0.1,0.392,13.28,7.6,83.03,6,0.0,100.0,128,1.55,16.97
,opt-6.7b,1.73,0.3,0.1,0.392,13.28,7.66,105.3,6,20.0,10.0,128,1.23,16.83
,opt-6.7b,1.72,0.3,0.1,0.392,13.18,7.67,107.14,6,20.0,50.0,128,1.2,16.81
,opt-6.7b,1.69,0.3,0.1,0.392,12.97,7.67,104.5,6,20.0,100.0,128,1.23,16.82
,opt-6.7b,1.57,0.7,0.1,0.392,11.93,7.59,85.25,6,50.0,10.0,128,1.51,17.0
,opt-6.7b,1.58,0.7,0.1,0.392,11.99,7.6,84.35,6,50.0,50.0,128,1.53,16.96
,opt-6.7b,1.53,0.8,0.1,0.392,11.49,7.5,101.22,6,50.0,100.0,128,1.27,17.21

,opt-6.7b,2.6,0.0,0.0,0.288,8.98,3.45,105.56,8,0.0,10.0,128,1.22,37.43
,opt-6.7b,2.37,0.0,0.0,0.288,7.68,3.23,106.66,8,0.0,50.0,128,1.21,39.88
,opt-6.7b,2.28,0.0,0.0,0.288,7.32,3.2,81.28,8,0.0,100.0,128,1.59,40.26
,opt-6.7b,2.32,0.3,0.0,0.288,7.44,3.2,103.83,8,20.0,10.0,128,1.24,40.27
,opt-6.7b,2.22,0.3,0.0,0.288,7.06,3.18,84.7,8,20.0,50.0,128,1.52,40.57
,opt-6.7b,2.31,0.3,0.0,0.288,7.35,3.19,105.53,8,20.0,100.0,128,1.22,40.48
,opt-6.7b,2.19,0.6,0.0,0.288,7.0,3.19,79.88,8,50.0,10.0,128,1.61,40.44
,opt-6.7b,1.97,0.4,0.1,0.288,6.3,3.19,56.66,8,50.0,50.0,128,2.28,40.38
,opt-6.7b,2.25,0.8,0.0,0.288,7.17,3.18,104.86,8,50.0,100.0,128,1.23,40.53

-------------------------------------------------------------------------------
,opt-13b,2.12,0.0,0.0,0.375,4.14,1.95,103.36,4,0.0,10.0,128,1.25,66.07
,opt-13b,2.15,0.0,0.0,0.375,4.19,1.95,104.33,4,0.0,50.0,128,1.24,66.1
,opt-13b,2.16,0.0,0.0,0.375,4.23,1.96,104.96,4,0.0,100.0,128,1.23,65.8
,opt-13b,1.73,0.4,0.0,0.375,4.47,2.59,108.4,4,20.0,10.0,128,1.19,49.86
,opt-13b,1.81,0.4,0.0,0.375,7.72,4.27,105.35,4,20.0,50.0,128,1.22,30.2
,opt-13b,1.81,0.4,0.0,0.375,7.72,4.26,108.77,4,20.0,100.0,128,1.19,30.26
,opt-13b,1.69,1.1,0.0,0.375,7.21,4.27,107.29,4,50.0,10.0,128,1.2,30.24
,opt-13b,1.78,1.1,0.0,0.375,7.59,4.27,105.58,4,50.0,50.0,128,1.22,30.21
,opt-13b,1.72,1.1,0.0,0.375,7.33,4.27,106.41,4,50.0,100.0,128,1.21,30.2

,opt-13b,2.07,0.0,0.0,0.349,8.78,4.24,100.0,6,0.0,10.0,128,1.29,30.39
,opt-13b,2.14,0.0,0.0,0.349,9.14,4.27,108.23,6,0.0,50.0,128,1.19,30.2
,opt-13b,2.11,0.0,0.0,0.349,9.03,4.27,104.9,6,0.0,100.0,128,1.23,30.21
,opt-13b,2.11,0.3,0.0,0.349,9.0,4.27,103.06,6,20.0,10.0,128,1.25,30.2
,opt-13b,2.11,0.4,0.0,0.349,9.03,4.28,109.6,6,20.0,50.0,128,1.18,30.16
,opt-13b,2.04,0.4,0.0,0.349,8.71,4.27,107.68,6,20.0,100.0,128,1.2,30.19
,opt-13b,1.91,0.7,0.1,0.349,8.11,4.25,82.08,6,50.0,10.0,128,1.57,30.39
,opt-13b,1.99,0.9,0.0,0.349,8.49,4.27,106.34,6,50.0,50.0,128,1.21,30.2
,opt-13b,1.91,0.7,0.0,0.349,8.12,4.24,85.65,6,50.0,100.0,128,1.51,30.43

,opt-13b,1.86,0.0,0.0,0.215,7.96,4.28,105.05,8,0.0,10.0,128,1.23,30.16
,opt-13b,1.89,0.0,0.0,0.215,8.07,4.27,107.14,8,0.0,50.0,128,1.2,30.2
,opt-13b,1.88,0.0,0.0,0.215,8.01,4.27,109.04,8,0.0,100.0,128,1.18,30.24
,opt-13b,1.73,0.3,0.1,0.215,7.34,4.24,82.78,8,20.0,10.0,128,1.56,30.43
,opt-13b,1.81,0.3,0.0,0.215,7.7,4.25,85.0,8,20.0,50.0,128,1.52,30.36
,opt-13b,1.81,0.3,0.0,0.215,7.69,4.24,85.46,8,20.0,100.0,128,1.51,30.44
,opt-13b,1.73,0.9,0.0,0.215,7.39,4.27,102.35,8,50.0,10.0,128,1.26,30.2
,opt-13b,1.74,1.0,0.0,0.215,7.42,4.27,106.77,8,50.0,50.0,128,1.21,30.19
,opt-13b,1.74,1.0,0.0,0.215,7.41,4.27,107.66,8,50.0,100.0,128,1.2,30.2
